Country,City,Latitude,Longitude,index_x,Temperature,Humidity,Cloudiness,Wind Speed (mph)
in,sonamura,23.471944,91.266389,19485.0,87.8,84.0,75.0,201.6
mx,amatitan,20.833333,-103.716667,23356.0,63.82,82.0,75.0,20.400000000000002
in,pujali,22.465278,88.151667,19056.0,95.0,71.0,75.0,684.6
in,wardha,20.75,78.616667,19786.0,87.8,74.0,75.0,510.0
mx,cardonal,20.616667,-99.116667,23526.0,56.07,100.0,25.0,108.60000000000001
mx,juanacatlan,20.516667,-103.166667,23981.0,63.18,82.0,75.0,87.0
mx,bucerias,20.75,-105.333333,23474.0,78.91,78.0,90.0,483.00000000000006
cu,nueva gerona,21.8833333,-82.8,7737.0,82.94,75.0,60.0,510.0
in,kailasahar,24.333333,92.016667,18060.0,86.31,81.0,94.0,469.8
in,muradnagar,28.783333,77.5,18685.0,84.2,83.0,90.0,349.20000000000005
us,westview,25.8816667,-80.2422222,43031.0,81.52,83.0,1.0,282.0
cn,dayong,29.129444,110.478333,5909.0,76.91,82.0,99.0,182.4
in,atraulia,26.333333,82.95,16992.0,88.61,67.0,94.0,577.1999999999999
qa,doha,25.286667,51.533333,32039.0,103.21,43.0,0.0,684.6
pk,rohri,27.692233,68.895062,30944.0,98.6,53.0,40.0,832.1999999999999
us,waggaman,29.9183333,-90.2108333,43659.0,80.17,74.0,20.0,282.0
np,butwal,27.7,83.45,26158.0,80.01,81.0,97.0,261.6
in,sabalgarh,26.25,77.4,19232.0,99.19,41.0,99.0,746.4
in,bagru,26.8084,75.5435,17040.0,91.4,63.0,40.0,550.2
in,puranpur,28.516667,80.15,19070.0,95.14,54.0,76.0,196.2
us,cocoa,28.3858333,-80.7422222,42805.0,80.85,83.0,20.0,483.00000000000006
cn,hongjiang,27.11,109.995556,6019.0,76.57,90.0,100.0,61.800000000000004
in,samalkha,29.233333,77.016667,19268.0,94.01,57.0,5.0,233.4
us,palm beach,26.7052778,-80.0366667,42949.0,80.24,78.0,40.0,550.2
in,uklana mandi,29.516667,75.866667,19675.0,100.98,41.0,15.0,359.40000000000003
cn,luqiao,28.580835,121.377148,6188.0,90.55,54.0,79.0,882.0
np,gulariya,28.2333333,81.3333333,26163.0,77.0,97.0,98.0,469.8
in,karari,25.45,81.433333,18145.0,100.08,41.0,67.0,806.4
mx,santa catarina,25.683333,-100.466667,24486.0,64.83,94.0,75.0,401.40000000000003
in,saharsa,25.883333,86.6,19248.0,84.61,80.0,99.0,586.8
eg,el balyana,26.2386111,32.0030556,10601.0,84.2,42.0,0.0,483.00000000000006
cn,xiongshi,28.288572,117.213291,6441.0,95.38,53.0,94.0,809.4
in,jaunpur,25.733333,82.683333,17996.0,87.8,74.0,75.0,282.0
mx,nuevo laredo,27.5,-99.516667,24205.0,78.87,78.0,20.0,550.2
bt,lhuntshi,27.65,91.15,4288.0,73.58,56.0,99.0,326.40000000000003
in,fatehpur,25.933333,80.8,17671.0,99.82,42.0,50.0,836.4
in,gangotri,30.983333,78.933333,17701.0,56.3,52.0,14.0,493.8
us,union city,33.5869444,-84.5425,43133.0,75.09,69.0,40.0,182.4
sy,nawa,32.8833333,36.05,40006.0,82.72,30.0,0.0,103.2
in,pulwama,33.883333,74.916667,19063.0,81.32,48.0,37.0,120.6
us,north augusta,33.5016667,-81.9652778,45485.0,77.76,69.0,1.0,349.20000000000005
mx,estacion coahuila,32.193889,-115.001667,23796.0,90.81,26.0,1.0,349.20000000000005
cn,hede,33.768056,120.251667,6004.0,81.3,87.0,100.0,1078.8
us,moss point,30.4113889,-88.5344444,44250.0,76.33,88.0,1.0,252.6
pk,faisalabad,31.416667,73.083333,30754.0,107.74,27.0,0.0,268.2
us,watauga,32.8577778,-97.2544444,45803.0,82.76,58.0,1.0,832.1999999999999
cn,taizhou,32.493333,119.910627,6352.0,75.58,92.0,100.0,240.0
us,wylie,33.015,-96.5386111,45814.0,82.09,74.0,1.0,349.20000000000005
jp,ueki,32.9,130.683333,21902.0,86.47,94.0,75.0,134.4
pk,dullewala,31.835867,71.436252,30750.0,107.06,23.0,0.0,260.4
in,bakloh,32.466667,75.916667,17062.0,83.43,57.0,0.0,322.2
us,placentia,33.8722222,-117.8694444,42481.0,66.76,68.0,1.0,201.6
ir,khorramabad,33.487778,48.355833,19921.0,95.0,23.0,5.0,155.39999999999998
in,akhnur,32.866667,74.733333,16856.0,89.6,62.0,40.0,415.79999999999995
in,jogindarnagar,31.983333,76.766667,18035.0,83.55,59.0,35.0,340.79999999999995
us,dallas,33.9236111,-84.8408333,43064.0,74.48,94.0,1.0,201.6
jp,ashiya,34.733333,135.316667,21234.0,87.26,52.0,75.0,550.2
in,dera baba nanak,32.033333,75.016667,17533.0,87.8,66.0,40.0,134.4
in,machhiwara,30.914722,76.198333,18444.0,98.8,42.0,6.0,257.4
us,carrollton,33.58,-85.0766667,43054.0,73.8,94.0,1.0,124.80000000000001
us,tifton,31.4502778,-83.5086111,43130.0,76.42,94.0,1.0,451.2
in,raipur,30.316667,78.1,19108.0,88.57,57.0,19.0,323.4
us,walnut park,33.9680556,-118.2241667,42610.0,64.53,77.0,1.0,369.0
us,hayward,37.6688889,-122.0797222,42345.0,60.89,77.0,1.0,415.79999999999995
it,carlentini,37.266667,15.016667,20227.0,73.38,94.0,40.0,282.0
jp,murayama,38.469722,140.414407,21604.0,81.27,74.0,20.0,1033.1999999999998
gr,moirai,35.05,24.8666667,13954.0,79.27,65.0,0.0,201.6
us,crofton,39.0016667,-76.6877778,43756.0,73.42,83.0,1.0,245.39999999999998
us,claymont,39.8005556,-75.46,42762.0,72.91,73.0,1.0,261.6
gr,nea peramos,38.0,23.4333333,13998.0,79.77,45.0,0.0,201.6
gr,orkhomenos,38.5,22.9833333,14048.0,76.12,47.0,0.0,349.20000000000005
tn,sajanan,37.057222,9.238056,40458.0,72.45,73.0,40.0,415.79999999999995
